#This file maps labels (0|1) to their meaning for each character.
character;type;label_0;label_1;n_texts
alle metalla und edelgesteine;phrase;absent;alle metalla und edelgesteine;3
an einen kalten ort;phrase;absent;an einen kalten ort;3
andern elementen und himmeln;phrase;absent;andern elementen und himmeln;3
andern ist der himmlische;phrase;absent;andern ist der himmlische;3
auch in ihm ein;phrase;absent;auch in ihm ein;3
auf voller löcher damit;phrase;absent;auf voller löcher damit;3
bedecke nach den athanor;phrase;absent;bedecke nach den athanor;3
begreiffet dann sie ist;phrase;absent;begreiffet dann sie ist;3
capita mortua von allen;phrase;absent;capita mortua von allen;3
caput mortuum fleißig zur;phrase;absent;caput mortuum fleißig zur;3
dampff durchdringen mag die;phrase;absent;dampff durchdringen mag die;3
daraus alles gebohren wird;phrase;absent;daraus alles gebohren wird;3
das die hitze sey;phrase;absent;das die hitze sey;3
das verum esse aller;phrase;absent;das verum esse aller;3
der nitri nemlich der;phrase;absent;der nitri nemlich der;3
die eicherne kugel und;phrase;absent;die eicherne kugel und;3
die hölzerne kugel hinweg;phrase;absent;die hölzerne kugel hinweg;3
die löcherichte kugel in;phrase;absent;die löcherichte kugel in;3
die putrefaction im vaporischen;phrase;absent;die putrefaction im vaporischen;3
die spiritus circuliren mögen;phrase;absent;die spiritus circuliren mögen;3
dieser jungfräulichen erden verborgen;phrase;absent;dieser jungfräulichen erden verborgen;3
eichene kugel in der;phrase;absent;eichene kugel in der;3
einander vereinigen und alle;phrase;absent;einander vereinigen und alle;3
feuer so sublimiret sich;phrase;absent;feuer so sublimiret sich;3
geheimniß diese soll man;phrase;absent;geheimniß diese soll man;3
geschwängert und ist das;phrase;absent;geschwängert und ist das;3
gold ist wäge es;phrase;absent;gold ist wäge es;3
heraus zu bringen folget;phrase;absent;heraus zu bringen folget;3
in der ersten multiplication;phrase;absent;in der ersten multiplication;3
in der mitte ein;phrase;absent;in der mitte ein;3
in die eicherne kugel;phrase;absent;in die eicherne kugel;3
kein cz salz mehr;phrase;absent;kein cz salz mehr;3
man kan einen finger;phrase;absent;man kan einen finger;3
mit starcken feuer so;phrase;absent;mit starcken feuer so;3
praeparatio saltz terra seu;phrase;absent;praeparatio saltz terra seu;3
seinem wie auch derselben;phrase;absent;seinem wie auch derselben;3
sich in der mitte;phrase;absent;sich in der mitte;3
