text_id,a_name,e_name,old_group,new_group,date,text_name,category,present,value_count,values
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Zuschreibung der Vorschrift,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Philosophische Vorbetrachtung,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Datierung der Probenahme,1,6,Mai; klarer Himmel; kein Wind; kein Regen; früh morgens; bei Sonnenaufgang
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Ort der Probenahme,1,2,schöne Wiese; Wiese mit Blumen
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Art der Erde,1,5,fette schwarze Erde; rote Erde; gelbe Erde; lehmig; bolarisch
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Art der Probenahme,1,5,knietief; ohne Gras; ohne Wurzeln; ohne Steine; 20-24 Zentner
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Aufteilung der Erde,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Fundort der Erde,0,0,
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Imprägnation der Erde,1,4,Erde ausbreiten; 14 Tage; Einwirkung von Gestirn und Himmel; bei Regen abdecken
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Extraktion,1,7,Holzfass; wie Salpetersieder; Fass mit Stellhölzern; Fass mit Zapflöchern; Stroh auf die Stellhölzer; kaltes Wasser; 24 Stunden stehen lassen
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Eindampfen,1,8,Kupferkessel; Sieden; Eindampfen bis 50 Prozent; nach Eindampfen wieder Auffüllen; Wiederholung 8-10 Mal; Nach Einsieden stehen lassen; Salz kristallisiert aus; Salz wird gereinigt
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Bezeichnung des ausgelaugten Salzes,1,3,"Sal Terrae Virgineum; Nitrum Philosophicum; Wasser, dass die Hände nicht netzt"
g1a1,A1,E16,1,II,,A1 Höchster Schatz und Kleinod der Welt,Weiterverarbeitung Erdsalz,1,18,ausgelaugte Erde calcinieren; Erdsalz und calcinierte Erde vermischen; Verhältnis Erdsalz zu Erde 1:2; mit etwas Regenwasser; Kugeln herstellen; Kugeln an Luft imprägnieren lassen; 4 Wochen imprägnieren; Mischung in Retorte geben; Retorte zu 50 Prozent gefüllt; in Vorlage Wasser; 1 Maß Wasser; destilliertes Regenwasser; per Gradus destillieren; Spiritus geht über; Sal volatile geht über; Spiritus und Sal volatile vermischen; vermischter Spiritus und Sal volatile in Gefäß gut verschlossen; Mischung aus Spiritus und Sal volatile kühl lagern
