a_name,e_name,old_group,new_group,xml_id,date,text_name,in_xml
A1,E16,1,II,g1a1,,A1 Höchster Schatz und Kleinod der Welt,yes
A2,E37,2,III,g2a2,1690,"A2 Es ist erstlich zu wissen, daß die Erde aller sachen Saamen",yes
A3,E38,2,III,g2a3,,A3 Processus Michaelis Sendivogij equitis Poloni auf das Universal Wasser,yes
A4,E44,2,III,g2a4,1682,"A4 Processus D. Michaelis Sendivogii super centrum universi, seu Sal centrale",yes
A5,E17,1,II,g1a5,1682,A5 Praeparatio salis nitri ex terra virginea altera,yes
A6,E19,1,II,g1a6,1718,"A6 Praeparatio Salis Terrae, seu Salpetri nostri e Terra Virginea",yes
A7,E39,2,III,g2a7,,A7 Labor et praxis Michaelis Sendivogi Poloni,yes
A8,E34,2,III,g2a8,,A8 Processus Universalis per Spiritum Universi Sendivogij Poloni,yes
A9,E2,3,I,g3a9,1618,A9 Das grosse Geheimnuß Sendivogij eben von diesen Allsteinio,yes
A11,E43,2,III,g2a11,1674,A11 Dieser Kunst Praxis ist diese,yes
A12,E45,2,III,g2a12,1724,A12 Lapis Philosophorum Sendivogii,yes
A13,E42,2,III,g2a13,1733,A13 Labor Universalis eines wahren Adepti,yes
A14,E32a,,,,,,no
A15,E32b,1,II,g1a15,1697,A15 Descriptio Tincturae Universalis,yes
A16,E27,1,II,g1a16,1638,A16 Processus Praeparationis Salis Nitri Nostri e Terrae Virginea,yes
A21,E3,3,I,g3a21,1618,A21 Ex ore D. Jac. Alst. Secretum Sedivojae,yes
A22,E35,3,I,g3a22,,A22 Proceßus Universalis per Spiritum universi M. Sendivogy,yes
A25,E22,3,I,g3a25,1757,A25 Wie aus dem primordialischen Chaos das hylealische Salz kan gefunden werden,yes
A26,E11,3,I,g3a26,,A26 Von der fetten Erde auf Adeptis,yes
A28,E21,,,,,,no
A29,E9,,,,,,no
A31,E18,,,,,,no
