cluster_label,Doc Frequency,Doc %,Total Statements
Salt Purification and Crystallization,18,100.0,120
Spirit Distillation Setup,15,83.3,44
Fixed Gold Preparation,15,83.3,33
Salt Extraction and Leaching,14,77.8,26
Spirit and Salt Storage,14,77.8,32
Residual Earth Calcination,13,72.2,21
Red Stage Formation,13,72.2,22
Tripartite Salt Composition,13,72.2,23
Volatile Salt Sublimation,13,72.2,13
Universal Menstruum Definition,13,72.2,13
Repeated Earth Distillation,13,72.2,37
Earth Purification Method,12,66.7,14
Multiplication Preparation,12,66.7,32
Multiplication Repetition Rule,10,55.6,11
Athanor Sealing Process,10,55.6,17
Earth Celestial Impregnation,10,55.6,18
Yellowing Phase Process,9,50.0,12
Second Spirit Purification,9,50.0,10
Waste Disposal and Preservation,9,50.0,10
Sealed Digestion Process,8,44.4,14
Saltpeter Purification Standard,8,44.4,10
Sand Bath Transfer,8,44.4,13
Red Grain Significance,8,44.4,14
Spirit Distillation Theory,8,44.4,8
Earth Lye Preparation,8,44.4,9
Multiplication Reserve Ratio,8,44.4,13
Coloration Phase Initiation,8,44.4,27
Earth Measurement and Filter,8,44.4,9
Putrefaction Transition Phase,8,44.4,12
Athanor Structure Theory,8,44.4,8
Rainwater Dissolution Process,7,38.9,10
Gradual Heating Distillation,7,38.9,13
Earth Division Theory,7,38.9,8
Spirit Addition Distillation,7,38.9,8
Silver Plate Testing,7,38.9,7
Principle Conjunction Summary,7,38.9,9
Salt Ball Formation,6,33.3,8
Tincture Reserve Justification,6,33.3,6
Divine Gratitude Expression,6,33.3,6
Tincture Purity Observation,6,33.3,8
Heat Regulation Placement,6,33.3,8
Putrefaction Water Refill,6,33.3,6
Earth Collection Site Prep,6,33.3,10
Weight Accuracy Justification,6,33.3,6
Mercury Gold Injection,6,33.3,9
Infusion Period Duration,6,33.3,6
Fixation Condition Check,6,33.3,6
Color Progression Expectation,5,27.8,6
Distillate Collection Setup,5,27.8,6
Straw and Earth Layering,5,27.8,5
Lye Concentration and Evaporation,5,27.8,9
Phial Sealing and Heating,5,27.8,6
Phlegma Distillation Bath,5,27.8,5
Multiplication Color Timeline,5,27.8,7
Oak Vessel Placement,5,27.8,6
Receiver Sealing Process,5,27.8,11
Putrefaction Theory Basis,5,27.8,6
Grain Separation Process,5,27.8,6
White Stage Development,5,27.8,5
Gold Mercury Mixing,4,22.2,6
Athanor Putrefaction Phase,4,22.2,4
Barrel Preparation and Filling,4,22.2,5
Black Coloration Observation,4,22.2,4
Philosopher's Stone Identification,4,22.2,5
Philosophical Water Union,4,22.2,4
Nitre Distillation Process,4,22.2,5
Gold Application Warning,4,22.2,6
Fire Increase Warning,4,22.2,5
Product Mixing and Storage,4,22.2,4
Green Coloration Stage,4,22.2,5
Separation Justification Theory,4,22.2,5
Receiver Volume Calibration,4,22.2,6
Sediment Filtration Process,4,22.2,5
Crucible Fusion Process,4,22.2,5
Caput Mortuum Transfer,3,16.7,3
Earth Weathering Duration,3,16.7,3
Retort Loading Process,3,16.7,3
Residue Storage Process,3,16.7,4
Retort Weight Scaling,3,16.7,3
Cursed Earth Disposal,3,16.7,4
Dissolution Ratio Specifics,3,16.7,4
Solvent Substitution Rule,3,16.7,3
Solution Filtration Phial,3,16.7,3
Secure Substance Storage,3,16.7,3
Tinging Power Progression,3,16.7,3
Charge Quantity Limits,3,16.7,3
Earth Protection and Exposure,3,16.7,5
Grain Nature and Utility,3,16.7,4
Earth Excavation and Refill,3,16.7,4
Earth Residue Separation,3,16.7,3
Fermentation Identity Limits,3,16.7,4
Post-Putrefaction Removal,3,16.7,4
Powder Grinding Process,3,16.7,3
Health Dosage Administration,3,16.7,3
Labor Completion Confirmation,3,16.7,4
Receiver Liquid Instruction,3,16.7,3
Fire Degree Progression,3,16.7,4
Final Product Coagulation,3,16.7,3
Multiplication Efficiency Theory,3,16.7,3
Lye Draining Process,3,16.7,3
Magnet Dissolution Theory,3,16.7,3
Medical Dosage Application,3,16.7,3
